Entity,Year,Access to electricity (% of population),Access to clean fuels for cooking,Renewable-electricity-generating-capacity-per-capita,Financial flows to developing countries (US $),Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Value_co2_emissions_kt_by_country,Renewables (% equivalent primary energy),gdp_growth,gdp_per_capita,Density\n(P/Km2),Land Area(Km2),Latitude,Longitude
Ireland,2019,100,100,,,12.34,18.92,0,11.8,38.41146,38270.875,1.32,35750,16.911177,4.917006978,80886.61574,73,84421,53.41291,-8.24389
Slovenia,2016,100,100,,,20.96,5.45,5.72,5.06,66.42021,38266.707,3.95,13899.99962,17.115887,3.191852518,21663.64341,103,20273,46.151241,14.995463
Ireland,2017,100,100,,,10.1,21.78,0,8.88,28.962818,38225.68,1.51,37779.99878,13.157302,8.940012772,69601.68388,73,84421,53.41291,-8.24389
France,2020,100,100,,,,48.14,353.83,125.28,90.869606,38063.406,,,14.788747,-7.855256037,39030.36037,119,643801,46.227638,2.213749
Japan,2020,100,100,,,,716.67,41.86,205.6,25.666662,38029.27,,,11.155339,-4.585508281,40193.25244,347,377944,36.204824,138.252924
Slovenia,2019,100,100,,,20.86,5.03,5.82,5.04,68.34487,37905.92,3.5,13600.00038,16.78137,3.250531336,25942.95477,103,20273,46.151241,14.995463
Malaysia,2019,100,95.8,251.85,20000,5.11,149.7,,28.76,16.115656,37823.5,4.25,253270.0043,6.1784086,4.439471288,11432.823,99,329847,4.210484,101.975766
Switzerland,2018,100,100,,,24.2,3.54,24.41,34.32,94.31508,37794.062,1.66,37479.99954,31.950867,2.916905098,86388.40495,219,41277,46.818188,8.227512
Switzerland,2016,100,100,,,24.1,3.69,20.24,33.57,93.58261,37755.19,1.72,39669.99817,32.287403,2.045186469,83073.28008,219,41277,46.818188,8.227512
Switzerland,2017,100,100,,,24.99,3.67,19.5,33.45,93.518196,37489.188,1.7,38700.00076,32.014774,1.584819616,83352.08865,219,41277,46.818188,8.227512
Malaysia,2018,99.99224,96.1,239.17,60000,5.31,142.27,,28.31,16.59632,37333.03,4.5,244410.0037,6.2534175,4.84305661,11380.08209,99,329847,4.210484,101.975766
Malaysia,2016,99.9,96.6,259.33,1290000,4.43,135.56,,21.09,13.463135,37199.58,4.69,235960.0067,4.848279,4.449781398,9817.78709,99,329847,4.210484,101.975766
Malaysia,2017,99.952484,96.5,235.74,50000,5.22,132.7,,27.94,17.39293,37162.887,4.28,227619.9951,6.291511,5.81272241,10259.30481,99,329847,4.210484,101.975766
Bahamas,2017,100,100,3.66,20000,1.44,1.87,0,0,0,36977.28,2.18,,,,,41,13878,25.025885,-78.035889
Slovenia,2020,100,100,,,,4.96,6.35,5.58,70.633514,36542.867,,,19.160215,-4.229261389,25517.33067,103,20273,46.151241,14.995463
Malaysia,2020,100,95.5,268.76,,,138.77,,30.54,18.037918,35997.363,,,7.1631722,-5.646944836,10412.34898,99,329847,4.210484,101.975766
Slovakia,2017,100,100,,,12.43,5.67,15.08,6.54,79.22316,35774.91,4.45,,9.412673,,,114,49035,48.669026,19.699024
Switzerland,2020,100,100,,,,3.62,22.99,40.79,94.62908,35766.375,,,36.21057,-2.392826042,87097.03645,219,41277,46.818188,8.227512
Ireland,2020,100,100,,,,18.51,0,13.46,42.10197,35630.062,,,20.549843,5.866975509,85267.76474,73,84421,53.41291,-8.24389
Slovakia,2018,100,100,,,12.43,5.92,14.84,5.81,77.71923,35121.086,4.28,,8.504163,,,114,49035,48.669026,19.699024
Israel,2019,100,100,,,4.47,68.82,0,2.9,4.0435023,35085.457,2.51,62650.00153,2.9192069,3.77358981,43951.24773,400,20770,31.046051,34.851612
Spain,2018,100,100,,,17.42,112.23,55.77,103.88,58.720753,34986.293,2.77,257040.0085,18.230534,2.288785676,30349.7521,94,505370,40.463667,-3.74922
Denmark,2016,100,100,,,32.17,12.16,0,18.39,60.1964,34666.89,2.25,35319.99969,25.71348,3.245956985,54663.99837,137,43094,56.26392,9.501785
Denmark,2017,100,100,,,35.2,9.23,0,21.8,70.25459,34656.133,2.19,33130.00107,30.301117,2.821736341,57610.09818,137,43094,56.26392,9.501785
Israel,2017,100,100,,,3.86,65.81,0,1.79,2.647929,34537.31,2.67,65610.00061,1.7236598,4.377044428,40774.12961,400,20770,31.046051,34.851612
Spain,2017,100,100,,,15.71,126.93,58.04,87.93,53.488457,34520.543,2.86,263450.0122,15.68235,2.973641191,28100.58624,94,505370,40.463667,-3.74922
Israel,2018,100,100,,,3.75,67.02,0,1.85,2.6862204,34493.293,2.65,61080.00183,1.8638786,3.983424594,42063.45313,400,20770,31.046051,34.851612
Israel,2016,100,100,,,3.98,65.34,0,1.69,2.521259,34475.207,2.81,64980.00336,1.7576799,4.462753818,37330.2618,400,20770,31.046051,34.851612
United Kingdom,2016,100,100,,,8.6,181.56,71.73,82.99,46.009277,34296.684,2.53,380809.9976,11.037631,2.263463538,41499.5557,281,243610,55.378051,-3.435973
Spain,2016,100,100,,,17.21,107.93,58.63,104.63,60.201332,34212.625,2.79,247029.9988,18.609848,3.03130133,26505.34322,94,505370,40.463667,-3.74922
United Kingdom,2017,100,100,,,9.7,165.91,70.34,98.85,50.489407,34098.812,2.45,367000,12.948246,2.134453093,40857.75558,281,243610,55.378051,-3.435973
Antigua and Barbuda,2016,100,100,37.03,,0.6,0.32,0,0,0,34089.41,3.85,500,,5.496459204,15198.74297,223,443,17.060816,-61.796428
Denmark,2018,100,100,,,34.67,9.61,0,20.75,68.346504,34042.258,2.14,33130.00107,29.154387,1.989537315,61591.92887,137,43094,56.26392,9.501785
Slovakia,2016,100,100,,,13.09,5.28,14.77,6.63,80.20989,34015.234,4.35,,9.996943,,,114,49035,48.669026,19.699024
Slovakia,2019,100,100,,,17.64,6.26,15.28,6.65,77.79354,33892.78,4.11,,9.983878,,,114,49035,48.669026,19.699024
United Kingdom,2018,100,100,,,10.99,155.41,65.06,110.03,52.977306,33771.496,2.41,360730.011,14.526468,1.650925496,43646.95197,281,243610,55.378051,-3.435973
Spain,2019,100,100,,,17.27,111.55,58.35,100.99,58.82092,33764.863,2.64,239979.9957,17.37585,2.085191421,29555.3157,94,505370,40.463667,-3.74922
Bahamas,2020,100,100,5.68,,,1.99,0,0,0,33301.77,,,,,,41,13878,25.025885,-78.035889
Slovakia,2020,100,100,,,,6.22,15.44,6.85,78.18309,33193.33,,,10.48076,,,114,49035,48.669026,19.699024
Denmark,2019,100,100,,,37.52,6.44,0,23.07,78.17689,33139.277,2,29700.00076,32.79566,2.114664208,59775.7351,137,43094,56.26392,9.501785
Antigua and Barbuda,2019,100,100,85.47,,0.91,0.33,0,0.01,2.9411764,33027.516,3.45,519.9999809,,4.862236166,17376.64968,223,443,17.060816,-61.796428
Antigua and Barbuda,2018,100,100,86.21,,0.9,0.32,0,0.01,3.030303,33026.227,3.57,509.9999905,,6.883640817,16679.59166,223,443,17.060816,-61.796428
United Kingdom,2019,100,100,,,12.24,144.99,56.18,120.48,54.923054,32893.76,2.3,348920.0134,16.24154,1.671944197,43070.49836,281,243610,55.378051,-3.435973
Israel,2020,100,100,,,,67.75,0,3.86,5.3903084,32593.809,,,4.053859,-2.153428489,44168.94364,400,20770,31.046051,34.851612
Libya,2019,68.6424,,0.75,,2.8,31.68,0,0.01,0.031555694,32421.873,8.9,56799.99924,,2.535953478,7685.948132,4,1759540,26.3351,17.228331
Antigua and Barbuda,2017,100,100,40.87,19550000,0.6,0.32,0,0.01,3.030303,32233.041,3.73,500,,3.14432324,15383.5764,223,443,17.060816,-61.796428
Belarus,2019,100,99.5,,,7.83,36.74,0,0.94,2.494692,31923.436,5.97,57669.99817,0.70776963,1.4,6837.717826,47,207600,53.709807,27.953389
Nauru,2016,99.71288,100,67.79,2950000,0.18,0.03,0,0,0,31831.389,5.03,59.99999866,,3.571428571,9521.042101,541,21,-0.522778,166.931503
Belarus,2018,100,99.5,,,7.22,35.85,0,0.81,2.2094927,31689.998,6.29,58950.00076,0.57909614,3.149197594,6360.062473,47,207600,53.709807,27.953389
Libya,2018,67,,0.76,,2.75,32.11,0,0.01,0.031133251,31662.736,7.16,56619.99893,,15.13279989,7877.12461,4,1759540,26.3351,17.228331
Poland,2018,100,100,,,11.27,147.87,0,21.62,12.755915,31661.174,3.68,311910.0037,5.8507967,5.353703355,15468.48222,124,312685,51.919438,19.145136
Poland,2017,100,100,,,11.12,145.8,0,24.13,14.1999655,31295.422,3.81,312859.9854,6.1909957,4.830656005,13864.68176,124,312685,51.919438,19.145136
Panama,2018,94.92852,87.6,543.93,350000,24.44,1.9,0,8.74,82.14285,31255.303,1.39,10060.00042,,3.685344349,15544.99908,58,75420,8.537981,-80.782127
Bahamas,2016,100,100,3.84,,1.53,1.85,0,0,0,31247.096,2.12,,,,,41,13878,25.025885,-78.035889
Libya,2017,70.24077,,0.78,,2.72,31.27,0,0.01,0.03196931,31206.035,8.41,55159.99985,,26.68090263,5756.699325,4,1759540,26.3351,17.228331
Panama,2017,93.7,87.9,542.18,101570000,23.6,2.73,0,7.9,74.31797,31180.088,1.42,10130.00011,,5.591328274,15146.40851,58,75420,8.537981,-80.782127
Italy,2018,100,100,,,17.08,172.98,0,114.41,39.810013,30957.242,2.48,324880.0049,17.727497,0.925810941,34605.26273,206,301340,41.87194,12.56738
Poland,2019,100,100,,,12.18,137.58,0,25.46,15.615801,30777.799,3.42,295130.0049,6.989287,4.744950156,15732.20313,124,312685,51.919438,19.145136
Bulgaria,2018,100,,,,19.6,21.03,16.13,9.38,54.813065,30743.955,4.98,40900.00153,11.799093,2.684576131,9446.700772,64,110879,42.733883,25.48583
Italy,2017,100,100,,,16.43,189.44,0,103.89,35.41745,30716.617,2.55,329190.0024,16.149738,1.667859041,32326.67421,206,301340,41.87194,12.56738
Greece,2018,100,100,,,17.86,37.11,0,16.14,30.309858,30475.123,3,65019.99664,13.455227,1.668428636,19747.34258,81,131957,39.074208,21.824312
Italy,2019,100,100,,,17.27,175.52,0,115.83,39.756306,30464.062,2.45,317239.9902,17.93995,0.410278294,33641.63375,206,301340,41.87194,12.56738
Spain,2020,100,100,,,,87.64,58.3,113.79,66.25726,30391.29,,,22.102654,-10.82288649,27063.19392,94,505370,40.463667,-3.74922
Bulgaria,2017,100,,,,17.12,23.25,15.55,6.13,48.25284,30376.139,5.14,43880.00107,7.619621,2.76217096,8366.293221,64,110879,42.733883,25.48583
Italy,2016,100,100,,,16.09,179.19,0,108.01,37.607937,30305.607,2.55,333339.9963,17.009197,1.293462732,30939.71425,206,301340,41.87194,12.56738
Portugal,2016,100,100,,,29,26.83,0,32.3,54.6254,30146.477,2.78,48759.99832,29.276423,2.019485396,19978.40121,111,92212,39.399872,-8.224454
Greece,2017,100,100,,,16.38,41.38,0,13.8,25.009062,30131.885,3.14,66800.00305,14.015645,1.09214912,18536.19072,81,131957,39.074208,21.824312
Poland,2016,100,100,,,11.34,143.28,0,22.81,13.733519,30122.61,3.82,299799.9878,6.0504947,3.141725778,12447.43959,124,312685,51.919438,19.145136
Bulgaria,2019,100,,,,19.34,19.75,16.56,7.49,54.908676,29996.027,4.74,39139.99939,9.948385,4.037592082,9879.268533,64,110879,42.733883,25.48583
Greece,2019,100,100,,,18.51,32.48,0,16.1,33.14121,29966.309,2.9,60000,13.694194,1.803595256,19133.75776,81,131957,39.074208,21.824312
Portugal,2018,100,100,,,27.47,29,0,29.41,50.350967,29893.375,2.63,49500,26.900106,2.849325934,23551.04829,111,92212,39.399872,-8.224454
Belarus,2020,100,99.6,,,,34.59,0.34,1.27,4.4475136,29768.562,,,0.9897245,-0.9,6424.152176,47,207600,53.709807,27.953389
Poland,2020,100,100,,,,128.91,0,28.23,17.964872,29514.133,,,7.769742,-2.540658682,15720.99466,124,312685,51.919438,19.145136
Panama,2016,93.16477,87.7,535.98,366660000,22.1,2.76,0,7.24,72.4,29494.584,1.49,10770.00046,,4.953434937,14343.98026,58,75420,8.537981,-80.782127
United Kingdom,2020,100,100,,,,124.78,50.85,131.74,59.403976,29425.54,,,20.078987,-9.396160006,41059.16881,281,243610,55.378051,-3.435973
Bulgaria,2016,100,,,,17.71,21.74,15.78,7.04,51.21185,29411.8,5.15,41590.00015,9.0498905,3.039825276,7569.478815,64,110879,42.733883,25.48583
Denmark,2020,100,100,,,,5.28,0,23.45,81.622,29380.422,,,37.272453,-2.062124959,61063.31643,137,43094,56.26392,9.501785
Portugal,2017,100,100,,,24.42,35.12,0,22.58,39.13345,29287.125,2.8,53330.00183,21.441805,3.506345285,21437.3475,111,92212,39.399872,-8.224454
China,2020,100,79.4,621.74,,,5184.13,366.2,2184.94,32.980618,29133.936,,,14.242872,2.347513573,10434.77519,153,9596960,35.86166,104.195397
Belarus,2017,100,99.4,,,7.29,31.71,0,0.75,2.3105361,28623.031,6.14,56009.99832,0.6887631,2.5321835,5785.670673,47,207600,53.709807,27.953389
Greece,2016,100,100,,,16.41,39.52,0,14.89,27.366293,28556.062,3.13,66849.99847,13.225245,-0.487173294,17911.79938,81,131957,39.074208,21.824312
Portugal,2019,100,100,,,28.19,24.32,0,27.41,52.986664,28468.56,2.54,44639.99939,26.401812,2.682759921,23330.81729,111,92212,39.399872,-8.224454
China,2019,100,77.6,529.28,201540000,14.45,5098.22,348.7,2014.57,31.672895,28277.445,6.31,10707219.73,13.51596,5.949714233,10143.83817,153,9596960,35.86166,104.195397
Nauru,2018,99.92822,100,76.98,,0.66,0.03,0,0,0,28203.953,5.15,59.99999866,,6.097560976,11614.66508,541,21,-0.522778,166.931503
Hungary,2019,100,100,,,13.64,13.2,16.29,4.7,61.392223,28131.205,3.51,46380.00107,4.9454613,4.554063072,16735.65978,107,93028,47.162494,19.503304
Belarus,2016,100,99.4,,,6.74,31.15,0,0.4,1.2678288,28104.533,6.18,55139.99939,0.34643993,-2.526446436,5039.681886,47,207600,53.709807,27.953389
Libya,2016,71.83022,,0.75,,2.58,29.52,0,0.01,0.033863865,28077.625,11.05,50950.00076,,-2.79546889,4035.196802,4,1759540,26.3351,17.228331
Libya,2020,69.70735,,0.74,,,30.09,0,0.01,0.03322259,28032.594,,,,-31.30000005,3699.294765,4,1759540,26.3351,17.228331
Bulgaria,2020,99.7,,,,,16.12,16.63,7.47,59.920437,27993.87,,,10.692997,-4.387149834,10079.20338,64,110879,42.733883,25.48583
Panama,2019,95.81633,87.6,540.69,90010000,18.91,4.15,0,6.24,60.057747,27875.5,1.54,13340.00015,,2.979715461,15774.25494,58,75420,8.537981,-80.782127
Antigua and Barbuda,2020,100,100,167.98,,,0.31,0,0.02,6.060606,27785.227,,,,-20.19237057,13992.74448,223,443,17.060816,-61.796428
Italy,2020,100,100,,,,161.17,0,116.9,42.039772,27763.8,,,19.721262,-8.9385925,31714.22095,206,301340,41.87194,12.56738
Hungary,2018,100,100,,,13.58,12.43,15.73,3.77,61.07109,27740.646,3.66,46400.00153,4.1346164,5.359496489,16427.37276,107,93028,47.162494,19.503304
Hungary,2020,100,100,,,,13.2,16.06,5.52,62.047157,27724.254,,,5.8162417,-4.675686993,15980.74089,107,93028,47.162494,19.503304
Panama,2020,96.704636,87.6,532.13,,,2.7,0,8.35,75.56561,27640.848,,,,-17.944864,12509.83529,58,75420,8.537981,-80.782127
Hungary,2017,100,100,,,14.54,13.25,16.1,3.48,59.640568,27509.97,3.87,46439.99863,3.8641884,4.268557419,14623.69665,107,93028,47.162494,19.503304
Bhutan,2019,100,79.4,3060.19,700000,82.27,0,0,8.95,100,27251.602,7.91,1049.999952,,5.755169995,3322.863329,20,38394,27.514162,90.433601
China,2018,100,75.6,487.16,318260000,13.71,4990.28,295,1835.32,29.917704,27109.42,6.39,10502929.69,12.807393,6.749773832,9905.342004,153,9596960,35.86166,104.195397
Cyprus,2017,100,100,,,11.03,4.57,0,0.43,8.6,26971.416,2.88,7360.000134,3.6376648,5.852540355,26608.87509,131,9251,35.126413,33.429859
Cyprus,2018,100,100,,,12.11,4.58,0,0.48,9.486166,26633.77,2.74,7199.999809,3.8665202,5.692841724,29334.11093,131,9251,35.126413,33.429859
Serbia,2019,99.8,78.6,,,21.53,26.35,0,10.51,28.513292,26602.787,5.04,45950.00076,,4.331734906,7417.203649,100,77474,44.016521,21.005859
Bhutan,2020,100,80.2,3026.4,,,0,0,8.95,100,26593.059,,,,-10.07634112,3000.779327,20,38394,27.514162,90.433601
Cyprus,2016,100,100,,,10.36,4.46,0,0.43,8.793456,26494.055,2.94,7219.99979,3.6664777,6.454554466,24605.92083,131,9251,35.126413,33.429859
Serbia,2018,100,77.3,,,21.05,25.77,0,10.9,29.724571,26481.451,5.28,46130.00107,,4.495121293,7252.401858,100,77474,44.016521,21.005859
Cyprus,2019,100,100,,,12.05,4.63,0,0.52,10.097087,26442.418,2.67,7190.000057,4.2749753,5.283187396,29206.07672,131,9251,35.126413,33.429859
Serbia,2017,100,75.7,,,20,27.15,0,9.29,25.493963,26359.041,5.61,47340.00015,,2.101163847,6292.543629,100,77474,44.016521,21.005859
Greece,2020,100,100,,,,30.61,0,17.55,36.44103,26343.523,,,16.707697,-9.019129085,17622.541,81,131957,39.074208,21.824312
South Africa,2016,83.9,84.4,82.73,201750000,10.53,213.09,15.21,7.69,9.703801,26236.475,7.91,425140.0146,1.6210166,0.664552308,5756.965741,49,1219090,-30.559482,22.937506
Serbia,2020,100,79.8,,,,27.02,0,10.21,27.42412,26211.984,,,,-0.944596516,7720.510572,100,77474,44.016521,21.005859
South Africa,2017,84.4,85.2,114.85,26330000,10.45,212.77,15.09,10.04,10.563262,26033.504,7.86,435649.9939,2.406186,1.157946952,6690.939847,49,1219090,-30.559482,22.937506
Hungary,2016,100,100,,,15.34,12.51,16.05,3.25,60.67274,26030.773,3.86,44250,3.8303542,2.191960369,13107.37791,107,93028,47.162494,19.503304
China,2017,100,73.2,436.9,372490000,13.13,4643.1,248.1,1667.06,29.20226,25987.611,6.51,10096009.77,12.138821,6.947200793,8816.986905,153,9596960,35.86166,104.195397
Puerto Rico,2018,100,,121.46,,1.36,16.75,0,0.24,1.4125956,25807.195,0.55,,,-4.147474747,31604.70151,368,9104,18.25,-66.5
Portugal,2020,100,100,,,,21.43,0,30.11,58.420643,25782.078,,,31.723911,-8.442456428,22176.29671,111,92212,39.399872,-8.224454
Serbia,2016,100,74.4,,,20.91,27.75,0,10.86,28.127428,25665.121,5.6,46619.99893,,3.338586765,5765.200762,100,77474,44.016521,21.005859
Puerto Rico,2016,100,,110.08,,1.89,20.57,0,0.39,1.8606871,25580.963,0.53,,,-1.263002925,30627.1634,368,9104,18.25,-66.5
South Africa,2019,85,86.3,136.8,164100000,10.5,208.39,13.6,12.57,11.15706,25511.209,8.03,439640.0146,2.6449363,0.113053697,6624.761865,49,1219090,-30.559482,22.937506
Puerto Rico,2017,100,,116.69,,2.26,16.32,0,0.37,2.2168963,25320.355,0.42,,,-2.885954759,31108.76057,368,9104,18.25,-66.5
Barbados,2019,100,100,122.01,34100000,4.31,0.98,0,0.04,3.9215686,25172.027,3.54,1250,,-0.096135553,18148.49785,668,430,13.193887,-59.543198
China,2016,100,70.6,382.59,1245180000,12.56,4355,213.18,1522.79,28.500713,25164.803,6.71,9874660.156,11.530947,6.848762205,8094.363367,153,9596960,35.86166,104.195397
Barbados,2018,100,100,76.82,50000,5.79,0.97,0,0.03,3,25095.537,3.87,1240.00001,,-0.580333154,17745.25537,668,430,13.193887,-59.543198
Latvia,2017,100,100,,,42.6,2.07,0,5.46,72.50996,25054.545,3.31,7119.999886,30.69509,3.31308889,15656.34749,30,64589,56.879635,24.603189
Chile,2018,100,100,584.92,,25.46,43.85,,32.89,42.859005,25039.64,3.49,86610.00061,24.343296,3.713859177,15888.14436,26,756096,-35.675147,-71.542969
Barbados,2016,100,100,70.05,8860000,3.49,0.98,0,0.02,2,25016.707,3.86,1289.999962,,2.478698683,16900.04829,668,430,13.193887,-59.543198
Lithuania,2020,100,100,,,,1.96,0,2.57,56.73289,24924.742,,,10.144763,-0.132431461,20233.64135,43,65300,55.169438,23.881275
Chile,2019,100,100,606.69,,25.26,45.16,,32.23,41.64621,24894.514,3.66,91370.00275,24.144995,0.942005307,14741.7144,26,756096,-35.675147,-71.542969
Lithuania,2019,100,100,,,33.53,0.67,0,2.47,78.662415,24873.117,3.08,11729.99954,9.697966,4.573771737,19575.76848,43,65300,55.169438,23.881275
South Africa,2018,84.7,85.7,136.82,378180000,10.19,214.25,10.56,12.22,9.610598,24742.117,7.73,434350.0061,2.6591578,1.487617373,7005.095413,49,1219090,-30.559482,22.937506
Paraguay,2016,98.4,66.2,1305.64,460000,62.49,0,0,63.3,100,24718.906,3.4,7179.999828,,4.268025833,5324.609068,18,406752,-23.442503,-58.443832
Bhutan,2016,99.58979,76,2192.15,50000,85.02,0,0,7.88,100,24692.543,8.3,930.0000072,,8.127033538,2930.574923,20,38394,27.514162,90.433601
Lithuania,2018,100,100,,,33.73,0.55,0,2.2,80,24616.006,3.22,11649.99962,8.702936,3.993310328,19176.81215,43,65300,55.169438,23.881275
Puerto Rico,2019,100,,126.27,,2.42,16.8,0,0.46,2.6651216,24532.93,0.63,,,1.484814635,32850.54861,368,9104,18.25,-66.5
Chile,2017,99.7,100,557.03,209270000,24.11,44.9,,29.32,39.504177,24517.238,3.55,87069.99969,22.405031,1.184544707,14998.81706,26,756096,-35.675147,-71.542969
Nauru,2017,99.87004,100,67.13,2650000,0.6,0.03,0,0,0,24506.256,5.68,70.0000003,,-5.747126437,10339.38548,541,21,-0.522778,166.931503
Bhutan,2017,97.7,77.4,2166.11,20000,83.63,0,0,7.65,100,24327.346,8.06,970.0000286,,4.651834675,3286.596744,20,38394,27.514162,90.433601
Mongolia,2019,97.22991,50.1,85.64,10600000,3.32,5.88,0,0.65,9.954058,24279.39,7.01,23069.99969,,5.602244219,4404.84583,2,1564116,46.862496,103.846656
Chile,2016,100,100,510.67,300130000,24.55,49.09,,24.27,33.083424,23993.93,3.54,86489.99786,19.706335,1.711089289,13753.59215,26,756096,-35.675147,-71.542969
Barbados,2017,100,100,73.44,,5.13,0.98,0,0.03,2.970297,23670.777,3.55,1179.999948,,0.475110679,17391.66891,668,430,13.193887,-59.543198
Lithuania,2017,100,100,,,33.78,0.82,0,2.53,75.52239,23635.178,3.31,11220.00027,10.216778,4.282596951,16843.69965,43,65300,55.169438,23.881275
Croatia,2018,100,100,,,32.83,3.77,0,9.78,72.177124,23593.492,3.13,16430.00031,26.73535,2.900009599,15227.5601,73,56594,45.1,15.2
South Africa,2020,84.38554,86.8,162.5,,,197.5,11.62,12.83,11.015995,23568.951,,,3.150246,-6.431974826,5655.867654,49,1219090,-30.559482,22.937506
Paraguay,2017,99.3,66.8,1288.69,,60.12,0,0,59.23,100,23435.645,3.42,8060.00042,,4.810078856,5678.869972,18,406752,-23.442503,-58.443832
Ukraine,2016,100,94.9,,,5.48,72.66,80.95,9.25,55.384995,23419.848,7.79,201660.0037,2.366657,2.440981945,2187.73051,75,603550,48.379433,31.16558
Latvia,2019,100,100,,,41.52,3.25,0,3.19,49.53416,23394.7,3.18,7570.000172,19.92988,2.484326355,17926.84159,30,64589,56.879635,24.603189
Saint Kitts and Nevis,2019,100,100,78.36,,1.58,0.21,0,0.01,4.5454545,23235.219,2.58,,,,,205,261,17.357822,-62.782998
Saint Kitts and Nevis,2018,100,100,78.95,,1.6,0.21,0,0.01,4.5454545,23219.201,2.59,,,,,205,261,17.357822,-62.782998
Croatia,2019,100,100,,,31.6,4.31,0,8.35,65.95577,23200.729,3.07,16520.00046,23.463097,3.481945603,15311.7669,73,56594,45.1,15.2
Paraguay,2018,99.6,67.4,1272.19,130470000,59.24,0,0,58.75,100,23139.457,3.4,8470.000267,,3.204250341,5782.78455,18,406752,-23.442503,-58.443832
Bhutan,2018,99.974365,78.3,2141.06,110000,82.22,0,0,6.89,100,23138.41,8.22,1049.999952,,3.055129837,3243.477437,20,38394,27.514162,90.433601
Saint Kitts and Nevis,2016,100,100,80.19,,1.68,0.2,0,0.01,4.7619047,22948.984,2.56,,,,,205,261,17.357822,-62.782998
Saint Kitts and Nevis,2017,100,100,79.56,,1.6,0.21,0,0,0,22939.45,2.63,,,,,205,261,17.357822,-62.782998
Chile,2020,100,100,669.29,,,43.69,,34.06,43.807076,22925.926,,,26.557531,-5.771501669,13231.70421,26,756096,-35.675147,-71.542969
Cyprus,2020,100,100,,,,4.25,0,0.6,12.371135,22852.852,,,5.661981,-5.2289881,27527.84531,131,9251,35.126413,33.429859
Mauritius,2019,100,96.9,198.49,,8.94,2.5,0,0.59,19.093851,22800.158,2.13,4170.000076,,3.012375903,11097.16898,626,2040,-20.348404,57.552152
Ukraine,2018,100,95,,,6.92,60.81,84.4,13.02,61.568604,22768.459,7.51,185619.9951,3.4212277,3.488362342,3096.561697,75,603550,48.379433,31.16558
Argentina,2016,99.84958,99.8,245.23,250160000,9.38,100.8,7.82,31.02,27.81438,22726.455,3.41,183160.0037,10.167007,-2.080327844,12790.24247,17,2780400,-38.416097,-63.616672
Croatia,2017,100,100,,,29.79,4.67,0,7.12,60.39016,22608.02,3.31,17409.99985,20.273584,3.41409226,13629.28959,73,56594,45.1,15.2
Latvia,2016,100,100,,,38.48,2.94,0,3.48,54.20561,22548.604,3.31,7150.000095,21.902061,2.367609543,14322.02268,30,64589,56.879635,24.603189
Latvia,2018,100,100,,,40.97,3.23,0,3.49,51.934525,22506.594,3.35,7789.999962,22.432663,3.989480387,17856.30712,30,64589,56.879635,24.603189
Argentina,2017,100,99.8,244.82,503740000,10.37,99.4,5.77,33.4,28.267298,22503.818,3.32,179320.0073,10.964719,2.818502978,14613.04182,17,2780400,-38.416097,-63.616672
Mongolia,2018,98.1,48.7,79.31,116030000,3.26,5.71,0,0.44,7.1544714,22486.172,6.37,21549.99924,,7.74488062,4156.84697,2,1564116,46.862496,103.846656
Croatia,2016,100,100,,,31.83,4.26,0,8.36,66.24405,22428.08,3.31,16879.99916,23.870218,3.532432232,12527.73986,73,56594,45.1,15.2
Nauru,2019,100,100,180.88,,0.61,0.03,0,0,0,22405.49,5.06,59.99999866,,0,11029.73558,541,21,-0.522778,166.931503
Croatia,2020,100,100,,,,4.69,0,8.55,64.57704,22304.447,,,25.170088,-8.099761252,14134.16268,73,56594,45.1,15.2
Lithuania,2016,100,100,,,31.47,1.31,0,2.1,61.583572,22207.523,3.3,11199.99981,8.9710455,2.518828273,14998.12506,43,65300,55.169438,23.881275
Argentina,2018,99.98958,99.8,259.47,492720000,10.52,98.31,6.51,34.97,29.673082,22163.16,3.31,176899.9939,11.39763,-2.617396463,11795.15939,17,2780400,-38.416097,-63.616672
Turkey,2019,100,95.2,534.43,360120000,14.12,170.53,0,132.26,43.680435,21973.062,2.61,,19.254936,0.889585161,9121.515167,110,783562,38.963745,35.243322
Mauritius,2018,99.448845,97,186.25,,9.19,2.45,0,0.52,17.508417,21929.627,2.15,4130.000114,,3.759677227,11208.34382,626,2040,-20.348404,57.552152
Montenegro,2018,100,61.8,,,40.6,1.55,0,2.25,59.210526,21852.676,3.42,2500,,5.077888811,8845.914219,47,13812,42.708678,19.37439
Ukraine,2017,100,94.9,,,6.48,57.96,85.58,10.88,62.466003,21840.365,7.42,174940.0024,2.9754004,2.359972281,2638.326055,75,603550,48.379433,31.16558
Turkey,2017,100,95.2,477.67,403600000,11.4,209.19,0,87.24,29.43022,21773.725,2.71,,13.170472,7.501997489,10589.66772,110,783562,38.963745,35.243322
Suriname,2017,96.696335,92.7,331.92,10000,14.96,0.95,0,0.93,49.468086,21698.678,3.91,2500,,1.567191065,6295.560562,4,163820,3.919305,-56.027783
